,Character,Message
12611,AMANDA,He's been gone for some time. It's his habit to meditate in private before retiring. What's wrong? Spock?
12612,SAREK,"You want something of me, Captain?"
12613,KIRK,"Ambassador, the Tellarite. Gav has been murdered."
12614,MCCOY,"His neck was broken, Mister Ambassador, by what Spock describes as tal-shaya."
12615,SAREK,Indeed? Interesting.
12616,KIRK,"Yes. Ambassador, where were you during the past hour?"
12617,AMANDA,"Captain, you're not accusing him?"
12618,SPOCK,"Mother. If only on circumstantial evidence, he is a logical suspect."
12619,SAREK,I quite agree.
12620,KIRK,Then where were you during the hour?
12621,SAREK,"In private meditation, Captain. Spock will tell you that such meditation is a personal experience, not to be discussed. especially not with Earthmen."
12622,KIRK,"That's a very convenient excuse, Ambassador."
12623,AMANDA,Sarek. Sarek. What's wrong?
12624,MCCOY,"It's difficult to say with Vulcan physiology, but I believe it's something to do with his cardiovascular system."
12625,KIRK,Can you help him?
12626,MCCOY,I don't know that yet either.
12627,SPOCK,"Yes, Captain. I get sensor readings of tri-tritanium from the alien ship's hull."
12628,KIRK,I'm sorry about your father.
12629,SPOCK,"Yes, it could adversely affect our mission."
12630,KIRK,Aren't you worried about him?
12631,SPOCK,"Worry is a human emotion, Captain. I accept what has happened. The ship's hull seems to have a high density level or is cloaked against sensor probes. It is manned, but sensors cannot make out specifics."
12632,KIRK,"I see. Well, the Romulans have nothing like it. Certainly not the Federation or the neutral planets. What about the Klingons?"
12633,SPOCK,I think it unlikely it is one of theirs.
12634,KIRK,"Who, then?"
12635,UHURA,Captain? I picked up the last part of a transmission. Just like that other one. I put the recorder and the directional locator on it immediately.
12636,KIRK,"Mister Chekov, directional locator indicates source bearing twenty seven, mark eight."
12637,CHEKOV,"It's the intruder ship, sir."
12638,KIRK,"Switch recorder to Mister Spock's station for decode, Lieutenant."
12639,UHURA,"Sir, the directional locator indicates reception point somewhere within the body of this ship."
12640,KIRK,A personal receiver? Somebody on board is in contact with that vessel?
12641,SPOCK,"Possibly, Captain. But I cannot decode this transmission."
12642,KIRK,Why not?
12643,SPOCK,It is in no known code. There's no detectable pattern. No standard references apply.
12644,KIRK,Are any conclusions possible from the information?
12645,SPOCK,"Only negative. It fits none of our computer records, and it is alien."
12646,KIRK,"Murder? Someone out there playing tag? Lieutenant, you've got your sensor locator on a wide beam. You've established a receiver on board this vessel. Tighten your field to the interior of the ship."
12647,UHURA,"Yes, sir."
12648,KIRK,"If that alien vessel starts transmitting again, I want to know who on board the Enterprise is receiving."
12649,MCCOY,"As far as I can tell from instrument readings, our prime suspect has a malfunction in one of the heart valve. It's similar to a heart attack in a human. But with Vulcan physiology, it's impossible to tell without an operation. Mrs. Sarek, has he had any previous attacks?"
12650,AMANDA,No.
12651,SAREK,Yes. There were three others. My physician prescribed Benjisidrine for the condition.
12652,AMANDA,Why didn't you tell me?
12653,SAREK,There was nothing you could have done.
12654,KIRK,"Ambassador, when did you have these attacks?"
12655,SAREK,"Two before we left Vulcan, the third a few hours ago. I was on the observation deck. When the Tellarite was murdered, I was quite incapacitated."
12656,KIRK,There were no witnesses?
12657,SAREK,None.
12658,SPOCK,"Doctor, do you propose surgery for the heart defect?"
12659,MCCOY,"I'm not sure. It's tough enough on a human. On a Vulcan, an ordinary operation's out of the question."
12660,KIRK,Why?
12661,SAREK,Because of the construction of the Vulcan heart.
12662,SPOCK,I suggest that a cryogenic open-heart procedure would be the logical approach.
12663,SAREK,"Yes, unquestionably."
12664,KIRK,"Bones, what about it?"
12665,MCCOY,"Well, I'm glad somebody's asking me something around here. Well, the procedure they're discussing would require tremendous amounts of blood for the patient."
12666,CHAPEL,Doctor?
12667,MCCOY,Yes.
12668,CHAPEL,I've checked the blood bank. There isn't enough Vulcan blood and plasma to even begin such an operation of this type.
12669,KIRK,There are other Vulcans aboard.
12670,SAREK,"My blood type is T-negative. Somewhat rare, even for a Vulcan."
12671,MCCOY,"Yes, I'd say that's rare."
12672,SPOCK,"My blood is T-negative, Doctor."
12673,CHAPEL,We've run a number of blood tests on Mister Spock. It isn't true Vulcan blood either. It has human blood elements in it.
12674,SPOCK,It should be possible to filter out the human factors.
12675,MCCOY,"Even you couldn't give that much blood, Spock. It would kill you."
12676,KIRK,Bones.
12677,MCCOY,"Mrs. Sarek, you must understand the chances are extremely small to find a way to produce sufficient T-negative blood."
12678,SPOCK,Indeed. I would estimate the odds
12679,AMANDA,Please don't.
12680,MCCOY,"I see it, Spock, but that was a Rigelian."
12681,SPOCK,Rigelian physiology is very similar to Vulcan.
12682,MCCOY,Similar is not good enough. It's still experimental.
12683,SPOCK,But it does look promising.
12684,MCCOY,"Spock, we would need such great amounts of blood that, even if the drug worked on the Vulcans as well as a Rigelian, which I'm doubtful, it would still drain Sarek to a critical level."
12685,SPOCK,"I consider the safety factor low, but acceptable."
12686,MCCOY,"Plus the fact I've never operated on a Vulcan before. Oh, I've studied the anatomical types. I know where all the organs are. But that's a lot different from actual surgical experience. So if I don't kill him with the operation, the drug probably will."
12687,AMANDA,"What drug, Doctor? My husband is asleep. What drug?"
12688,MCCOY,A chemical stimulant to speed up reproduction and replacement of blood in the body. It's only experimental.
12689,SPOCK,It has been used successfully on test subjects on Rigel Five.
12690,MCCOY,"It places a tremendous strain on the spleen and the liver. In Sarek's condition, the stimulant would kill him."
12691,SPOCK,"Miss Chapel? I underwent a physical examination last week. Would you pull those records, please?"
12692,CHAPEL,"Already pulled. You're perfectly healthy, Mister Spock."
12693,MCCOY,What has that got
12694,AMANDA,You're going to use it on yourself. A transfusion from you to your father.
12695,SPOCK,It would seem the only answer.
12696,MCCOY,"It could damage you internally. It could kill you. I'm sorry, Spock. I can't sanction it."
12697,AMANDA,And I refuse to permit it. I won't risk both of you.
12698,SPOCK,"Then you automatically condemn Sarek to death. And you, Doctor, have no logical alternative either. If you do not operate, Sarek will die. You now have the means to perform the operation. I am volunteering myself as the blood donor. I'll be at my station until you require me."
12699,KIRK,Bridge. Spock.
12700,SPOCK,Captain? Captain? Captain?
12701,SPOCK,I'll be in the brig questioning the Andorian prisoner.
12702,CHAPEL,"Doctor, the K2 factor is dropping."
12703,MCCOY,"Spock, your father is much worse. There's no longer a choice. I have to operate immediately. We can begin as soon as you're prepared."
12704,SPOCK,"No, Doctor."
12705,MCCOY,What?
12706,SPOCK,"My first responsibility is to the ship. Our passengers' safety is by Starfleet order of first importance. We are being followed by an alien, possibly hostile, vessel. I cannot relinquish command under these circumstances."
12707,MCCOY,You can turn command over to Scotty.
12708,SPOCK,"On what grounds, Doctor? Command requirements do not recognise personal privilege. I'll be in the brig interrogating the Andorian."
12709,SPOCK,He has been subjected to questioning under verifier scan and truth drug. He reveals nothing. I suggest his mind has been so conditioned as part of a preconceived plan.
12710,SHRAS,"My people are a violent race, but we've no quarrel with Captain Kirk."
12711,SPOCK,Apparently Thelev did.
12712,SHRAS,You suggest a plot. How could it profit us to harm the captain?
12713,SPOCK,I do not know. There is no logic in Thelev's attack upon the captain. There is no logic in Gav's murder.
12714,SHRAS,Perhaps you should forget logic and devote yourself to motivations of passion or gain. Those are reasons for murder.
12715,SPOCK,Come in.
12716,AMANDA,"Spock, you must turn command over to somebody else."
12717,SPOCK,"Mother, when I was commissioned, I took an oath to carry out responsibilities which were clearly and exactly specified."
12718,AMANDA,Any competent officer can command this ship. Only you can give your father the blood transfusions that he needs to live.
12719,SPOCK,Any competent officer can command this ship under normal circumstances. The circumstances are not normal. We're carrying over one hundred valuable Federation passengers. We're being pursued by an alien ship. We're subject to possible attack. There has been murder and attempted murder on board. I cannot dismiss my duties.
12720,AMANDA,Duty? Your duty is to your father.
12721,SPOCK,"I know, but this must take precedence. If I could give the transfusion without loss of time or efficiency, I would. Sarek understands my reason."
12722,AMANDA,"Well, I don't. It's not human. That's not a dirty word. You're human, too. Let that part of you come through. Your father's dying."
12723,SPOCK,"Mother, how can you have lived on Vulcan so long, married a Vulcan, raised a son on Vulcan, without understanding what it means to be a Vulcan?"
12724,AMANDA,"If this is what it means, I don't want to know."
12725,SPOCK,"It means to adopt a philosophy, a way of life, which is logical and beneficial. We cannot disregard that philosophy merely for personal gain, no matter how important that gain might be."
12726,AMANDA,Nothing is as important as your father's life.
12727,SPOCK,"Can you imagine what my father would say if I were to agree, if I were to give up command of this vessel, jeopardise hundreds of lives, risk interplanetary war, all for the life of one person?"
12728,AMANDA,"When you were five years old and came home stiff-lipped, anguished, because the other boys tormented you saying that you weren't really Vulcan. I watched you, knowing that inside that the human part of you was crying and I cried, too. There must be some part of me in you, some part that I still can reach. If being Vulcan is more important to you, then you'll stand there speaking rules and regulations from Starfleet and Vulcan philosophy, and let your father die. And I'll hate you for the rest of my life."
12729,SPOCK,Mother
12730,AMANDA,"Oh, go to him. Now. Please."
12731,SPOCK,I cannot.
12732,KIRK,I'd like to get my hands on the guy with the sledgehammer.
12733,CHAPEL,The one who hit you?
12734,KIRK,"No, the one inside my head. How long have I"
12735,MCCOY,Now let that be a lesson to you. Just lie there and be happy you're still alive.
12736,KIRK,How's Sarek?
12737,MCCOY,Not good. If I could only operate.
12738,KIRK,What's stopping you? I thought you were all ready.
12739,MCCOY,"I was. When you became injured, Spock assumed command. He's going to stay there until you're back on your feet, even if it costs Sarek his life. Regulations."
12740,KIRK,"I can't damn him for his loyalty, for doing his duty, but I'm not going to let him commit patricide."
12741,MCCOY,"Jim, if you stand, you could start to bleed again."
12742,KIRK,"Bones, Sarek will die without that operation, and you can't operate without transfusions from Spock. I'll convince Spock I'm all right and order him to report here. As soon as he leaves the bridge, I'll turn command over to Scotty and report to my quarters. Will that fill your prescription?"
12743,KIRK,"I'll take over, Mister Spock. You report to Sickbay with Doctor McCoy."
12744,SPOCK,"Captain, are you quite all right?"
12745,MCCOY,"I've certified him physically fit, Mister Spock. Now since I have an operation to perform and both of us are required"
12746,KIRK,"Get out, Spock. Chekov, what's the status of the intruder?"
12747,CHEKOV,"No change, sir. Maintaining its distance."
12748,KIRK,"Any further transmissions, Lieutenant?"
12749,UHURA,"None, sir."
12750,KIRK,Call Mister Scott to the bridge.
12751,CHEKOV,"Captain, the alien vessel is moving closer."
12752,KIRK,Belay that order. I'll stay here.
12753,UHURA,"Captain, I'm picking up the alien signal again, but it's coming from inside the Enterprise."
12754,KIRK,Specific origin?
12755,UHURA,"From the brig, sir."
12756,KIRK,Security? Security to the brig. Search the prisoner immediately.
12757,CHAPEL,"Mister Spock's blood reproduction rate is up over two hundred percent. Sarek's heartbeat has risen to three hundred and twenty four. Blood pressure ninety over forty, dropping."
12758,MCCOY,I wish I knew whether that was good or bad. Initiate sterile field.
12759,CHAPEL,Mister Spock.
12760,MCCOY,Where do you think you're going?
12761,SPOCK,I must see the captain.
12762,MCCOY,My patients don't walk out in the middle of an operation.
12763,SPOCK,"The alien ship. I've just realised that if their power utilisation curve is not the norm, it should be possible to identify them this way. Very important."
12764,MCCOY,So is your father's life.
12765,JOSEPH,Security here. We had to stun the Andorian. He had some sort of transceiver. It was hidden in his antenna.
12766,CHEKOV,"Captain, the alien ship has changed course and speed. Moving directly toward us at warp eight."
12767,KIRK,Bring the prisoner to the bridge. Deflectors on. Red Alert. Phasers stand by to fire on my order.
12768,CHEKOV,"Aye, sir. Shields on. Phasers manned and ready, sir."
12769,KIRK,"Chekov, take over Spock's scanners."
12770,CHEKOV,"Aye, sir."
12771,KIRK,"Target, Mister Chekov."
12772,CHEKOV,Moving away. Turning now. He's coming around again.
12773,KIRK,"Fire as he passes, Ensign."
12774,CHEKOV,"A clean miss, sir."
12775,KIRK,"Report on his weaponry, Mister Chekov."
12776,CHEKOV,"Sensors record standard phasers, sir."
12777,KIRK,"Standard phasers. Good. They may have more speed, but they're not giants."
12778,UHURA,"Captain, the intercoms are jammed. All the ambassadors are asking what's going on."
12779,KIRK,"Tell them to take a good guess, but clear that board, Lieutenant."
12780,UHURA,"Aye, sir."
12781,CHEKOV,He's coming around again.
12782,CHEKOV,"Fire control locked into the computers, Captain."
12783,KIRK,"On my order, fire photon torpedoes two, four and six. Widest possible scatter."
12784,CHEKOV,"Aye, sir."
12785,KIRK,Fire.
12786,CHEKOV,"Full spread missed, sir. They're moving too fast for us."
12787,MCCOY,Cardio-stimulate.
12788,CHAPEL,The systems are off.
12789,MCCOY,Then get me that old portable cardio-stimulator.
12790,MCCOY,Call engineering and have sickbay systems put on priority.
12791,KIRK,Auxiliary power.
12792,CHEKOV,"Switching over. Shields firming up. Number four is still weak, sir. If they hit us there again, it'll go altogether."
12793,KIRK,Your friends out there are good. They'll have to destroy this ship to win.
12794,THELEV,"That was intended from the beginning, Captain."
12795,KIRK,You're not Andorian. Who are you?
12796,UHURA,"Damage reports coming in, Captain. Every deck."
12797,KIRK,"Damage control procedures, all decks. That ship out there has phasers. At least our weapons are alike."
12798,CHEKOV,Number two shield is gone.
12799,KIRK,"Engineering, this is the Captain. Cut power on port side except for phaser banks. At my signal, cut starboard power. Kirk out. Who are you?"
12800,THELEV,"Find your own answers, Captain. You haven't long to live."
12801,KIRK,"You're a spy, surgically altered to pass as an Andorian. Planted in the ambassador's party to use terror and murder to disrupt us and prepare for this attack."
12802,THELEV,"Speculation, Captain."
12803,KIRK,"Engineering, cut power on starboard side. Maintain until further orders. Chekov."
12804,THELEV,What are you doing?
12805,KIRK,You speculate.
12806,CHEKOV,"We're starting to drift, sir. Shall I hold her on course?"
12807,KIRK,"No. Stand by your phasers, Mister Chekov."
12808,CHEKOV,"Aye, sir. Phasers standing by. He's just hovering out there, sir."
12809,KIRK,Looking us over. We're dead as far as he knows.
12810,THELEV,You're baiting him. You're trying to lure him in.
12811,CHEKOV,Here he comes. Range decreasing. Speed dropping close to sublight.
12812,KIRK,"Hold your fire, Mister Chekov."
12813,CHEKOV,Phasers locked on target. Range closing. Seventy five thousand kilometres.
12814,KIRK,Fire.
12815,CHEKOV,Got him!
12816,KIRK,"Secure from general quarters. Lieutenant, open the hailing frequency. If they wish to surrender"
12817,THELEV,"They could not surrender, Captain. They had orders to self-destruct."
12818,KIRK,"Lieutenant, relay to Starfleet command. Tell them we have a prisoner."
12819,UHURA,"Aye, sir."
12820,THELEV,"Only temporarily, Captain. You see, I had orders to self-destruct, too. Slow poison. Quite painless, actually, but there's no known antidote. I anticipate another ten minutes of life."
12821,KIRK,Take him to Sickbay.
12822,THELEV,I seem to have miscalculated.
12823,KIRK,"So did they. Mister Chekov, take over."
12824,MCCOY,Are you quite through shaking the ship around?
12825,KIRK,"Spock, Sarek how are they?"
12826,MCCOY,"I don't mind telling you, you sure make it difficult for a surgeon trying"
12827,KIRK,Bones!
12828,AMANDA,"Captain, come in."
12829,MCCOY,That pig-headed Vulcan stamina. I couldn't have pulled them through without it.
12830,KIRK,Some doctors have all the luck.
12831,SPOCK,"Captain, I believe you'll find the alien"
12832,KIRK,"We damaged their ship. They destroyed themselves to avoid capture. Bones, Thelev's body will be brought to your lab. I want an autopsy performed as soon as possible."
12833,SPOCK,"I think you'll find he's an Orion, Doctor."
12834,MCCOY,Orion?
12835,SPOCK,Intelligence reports that Orion smugglers have been raiding the Coridan system.
12836,KIRK,But what would they gain by an attack on Starfleet?
12837,SAREK,Mutual suspicion and interplanetary war.
12838,KIRK,"Yes, of course. With Orion carefully neutral, they'd clean up supplying dilithium to both sides and continue to raid Coridan."
12839,SPOCK,"The thing that confused me was the power utilisation curve. It made them seem more powerful than a starship or anything known to us. That ship was constructed for a suicide mission. Since they never intended to return to their home base, they could use one hundred percent power on their attacks. The thing I don't understand is why I didn't think of it earlier."
12840,KIRK,You might have had something else on your mind.
12841,SPOCK,That hardly seems likely.
12842,KIRK,"No, but thank you anyway."
12843,AMANDA,"And you, Sarek. Would you also say thank you to your son?"
12844,SAREK,I don't understand.
12845,AMANDA,For saving your life.
12846,SAREK,"Spock acted in the only logical manner open to him. One does not thank logic, Amanda."
12847,AMANDA,"Logic, logic! I'm sick to death of logic. Do you want to know how I feel about your logic?"
12848,SPOCK,"Emotional, isn't she?"
12849,SAREK,She has always been that way.
12850,SPOCK,Indeed? Why did you marry her?
12851,SAREK,"At the time, it seemed the logical thing to do."
12852,KIRK,"Bones.  No, no, I'm all right"
12853,MCCOY,"If you keep arguing with your kindly family doctor, you're going to spend your next ten days right here. If you co-operate, you'll be out in two."
12854,SPOCK,"Doctor, I'll return to my station now."
12855,MCCOY,"You are at your station, Mister Spock."
12856,KIRK,"Doctor McCoy, I believe you're enjoying all this."
12857,SPOCK,"Indeed, Captain. I've never seen him look so happy."
12858,MCCOY,"Shut up.  Shh. Shh!  Well, what do you know? I finally got the last word."
12859,MCCOY,"In addition, an assortment of swords and knives."
12860,UHURA,"Call from the bridge, Captain."
12861,SULU,"Bridge, Helm, sir."
12862,KIRK,"Yes, Mister Sulu. Report."
12863,SULU,"Now in standard orbit, sir. I've pinpointed their encampment below."
12864,KIRK,Very good. Have the transporter room stand by.
12865,SULU,"Aye, sir."
12866,SCOTT,"How long were you stationed on the planet, Doctor?"
12867,MCCOY,Only a few months. We found them totally uninterested in medical aid or hospitals. They believe only the strong should survive.
12868,KIRK,"Analysis, gentlemen."
12869,SPOCK,"Ordinarily, under these circumstances, I would recommend a large, well-armed landing party."
12870,KIRK,"Yes, but in this case, with the more people we take down, the greater chance we have of violating one of their taboos."
12871,MCCOY,"Agreed. Once they've got it into their heads we're showing force, you can forget them signing any mining treaty."
12872,KIRK,"Very well. Scotty, you're in command. Bear in mind that the Klingons have been sighted in this sector. While we're negotiating down there, we don't want the Enterprise to become an incident up here."
12873,SCOTT,"Aye, sir. We'll keep on our toes."
12874,MAAB,Halt! You are of the Earth vessel?
12875,KIRK,I'm Captain Kirk.
12876,MCCOY,We come with open hearts and hands.
12877,GRANT,A Klingon!
12878,KIRK,"Grant, no!"
12879,MCCOY,Don't move a muscle.
12880,MCCOY,Jim!
12881,KRAS,Or is it your policy to kill Klingons on sight?
12882,KIRK,"He was young, and inexperienced."
12883,MCCOY,Does Maab know that the Klingons are our sworn enemies by their own words?
12884,MAAB,"We understand only that he also offers things of value for our rocks, and he has freely handed us his weapons and other devices. Will you do the same?"
12885,KIRK,Let me call my ship and inform them
12886,KRAS,"To bring down an attack upon their village? It is as I told you, Maab. Earthmen fear to bargain honestly."
12887,MAAB,Will you hand us your weapons?
12888,KIRK,"So they keep their word scrupulously. They're unusually honest. Is that what I heard you say, Doctor?"
12889,MCCOY,"Yes, I mentioned that."
12890,SPOCK,He also mentioned that they can be highly dangerous.
12891,KIRK,"Dangerous if lied to, if their customs are violated. We lied to no one, Doctor. We violated no customs. Perhaps you'll explain to me why one of my men is dead."
12892,MCCOY,Because he was drawing a weapon on another of their guests.
12893,KIRK,"Grant looked up, saw a Klingon, made a purely instinctive defensive move. What's a Klingon doing down here among your scrupulously honest friends anyway?"
12894,MCCOY,"Look, Jim. I know what it means to you to lose a crewman."
12895,KIRK,"That's only one down, Doctor. There's over four hundred more up there in orbit. And if there's a Klingon down here, there might be a Klingon ship up there somewhere."
12896,SCOTT,"Well, let's put it on the screen."
12897,CHEKOV,"It's just at the edge of our sensor range, sir. Hard to get an exact reading."
12898,SULU,You think it's a Klingon ship?
12899,SCOTT,"Who else would be playing cat and mouse with a starship? Well, they can't hurt us much out there, bobbing about like that. No need to call the captain yet."
12900,MCCOY,"Yes, Captain?"
12901,KIRK,I shouldn't have chewed you out. I'm sorry.
12902,MCCOY,I understand.
12903,SPOCK,"Inefficient, however. Emotion, Captain."
12904,KIRK,"Yes, you're quite right, Mister Spock. Inefficient and illogical."
12905,MCCOY,You've shown friendship by handing over our weapons. She's making a gesture in return.
12906,MCCOY,"Jim! You touch it, her nearest male relative will have to try to kill you. They're offering you a chance for combat. They consider it more pleasurable than love."
12907,MAN,Chur-ah.
12908,SPOCK,"It would appear, Captain, that he finds you a disappointment."
12909,AKAAR,I am the teer Akaar. I lead the Ten Tribes of Capella.
12910,AKAAR,"And this is Eleen, a young wife to give an old man a son to rule these tribes."
12911,KIRK,"I'm Captain Kirk. First of all, I must protest the killing of my crewman."
12912,AKAAR,"If it was your man, wasn't it his privilege to die for you? I do not understand."
12913,MAAB,"Their customs are different, Teer."
12914,KRAS,"And different from those of my people, too, Teer. The sight of death frightens them."
12915,MCCOY,"Let me take this, Jim. What Maab has said is true. Our customs are different. What the Klingon has said is unimportant, and we do not hear his words. I just called the Klingon a liar."
12916,MAAB,"Laughter, Teer? Is not the Klingon an honoured guest also?"
12917,AKAAR,It was the Earth people who first bargained for our rocks.
12918,MAAB,Is it not best to have two who bargain for the same goods?
12919,AKAAR,"It is I who speak for the tribe, Maab."
12920,MAAB,"I speak for many, Teer. Hear the words of the Klingon."
12921,KRAS,What do Earth men offer you? What have you obtained from them in the past? Powders and liquids for the sick? We Klingons believe as you do. The sick should die. Only the strong should live. Earthmen have promised to teach the youth of your tribes many things. What? What things? Cleverness against enemies? The use of weapons?
12922,ELEEN,"The Klingon speaks the truth, Akaar."
12923,KIRK,"The Earth Federation offers one other thing, Akaar. Our laws. And the highest of all our laws states that your world is yours and will always remain yours. This differs us from the Klingons. Their empire is made up of conquered worlds. They take what they want by arms and force."
12924,MAAB,"Good, good. Let the Klingons and the Earthmen offer us amusement. Capellans welcome this."
12925,AKAAR,"The Earth men have different customs, but never have they lied to our people."
12926,MAAB,"There are those of us who won't bargain with Earthmen, Akaar."
12927,AKAAR,"Do you say you will fight me, Maab?"
12928,MAAB,"Let that be your choice, Teer."
12929,KIRK,"We need our communicators, those devices on our belts. If there's a Klingon ship somewhere"
12930,AKAAR,The sky does not interest me. I must consider the words I have heard.
12931,ELEEN,Leave him.
12932,UHURA,"Mister Scott, I'm getting a call from a vessel. It's so faint I can't make it out."
12933,SCOTT,"Put a booster on it, Lieutenant. Try to pull it in."
12934,UHURA,I've lost it. It sounded like a distress signal from an Earth vessel.
12935,KRAS,"I have no quarrel with you, Captain. I wish merely to return to my vessel."
12936,KIRK,Type of vessel. Location.
12937,KRAS,"A small scout ship, Captain. We need the mineral, too. I was sent to negotiate."
12938,MAAB,Release him.  Akaar is dead. I am the teer.
12939,KRAS,Kill them now.
12940,KIRK,"Wait. If you lead these people now, be certain you make the right decisions."
12941,KRAS,Is the new leader of the Ten Tribes afraid? Let me kill him for you.
12942,KIRK,Or let the Klingon and me fight. It might amuse you.
12943,MAAB,"Perhaps to be a teer is to see in new ways. I begin to like you, Earthman, and I saw fear in the Klingon's eye."
12944,KRAS,We had an agreement.
12945,MAAB,"That too may change, Klingon."
12946,SCOTT,Dierdre? That's a freighter.
12947,UHURA,"Reporting they're under attack. They're running, trying to manoeuvre. It's a Klingon vessel attacking."
12948,SCOTT,Helm?
12949,SULU,"Picking it up, sir. Taking a fix."
12950,SCOTT,Try the captain.
12951,UHURA,"Enterprise to Captain Kirk. Come in, Captain. Enterprise to Captain Kirk. Come in, Captain."
12952,MCCOY,"Captain, careful."
12953,MAAB,You carry a child who would be teer.
12954,ELEEN,I must die.
12955,KIRK,No!
12956,MAAB,No man may touch the wife of a teer.
12957,KRAS,"She was prepared to die, Earthman."
12958,ELEEN,I was proud to obey the laws. Kill him first. He laid hands upon me. It is my right to see him die.
12959,CHEKOV,"I have it on the sensors, sir. Tie into my channel, Lieutenant."
12960,VOICE,"Commanding. We are under heavy attack by Klingon vessels. Two convoy ships are already damaged. We must have help. Enterprise, acknowledge. Please acknowledge. Repeat"
12961,SULU,"Interception course computed and laid in, sir."
12962,SCOTT,"Prepare to take us out of orbit, Mister Sulu."
12963,SULU,"Aye, sir."
12964,UHURA,"Scotty, the captain."
12965,SCOTT,"We have a distress call from a Federation ship under attack. That's where our duty lies. Take us out of orbit, Mister Sulu. Ahead warp five."
12966,SPOCK,"Our check-in signal is one hour, twelve minutes overdue. Since no reconnaissance party has appeared, and since Mister Scott is notably efficient in such matters"
12967,KIRK,I must assume that something's keeping them busy up there. The Klingon ship.
12968,SPOCK,That would seem a logical conclusion.
12969,MCCOY,"Captain, I'm going to fix that woman's arm. They can only kill me once for touching her."
12970,KIRK,"That's a very good idea, Bones."
12971,SPOCK,"Yes, Captain, an excellent idea."
12972,MCCOY,Let me see that arm.
12973,ELEEN,You will not touch me.
12974,KIRK,You said you're prepared to die. Does that mean you'd prefer to die? I think we can get you safely to the ship. Your choice. Bones.
12975,ELEEN,To live is always desirable.
12976,KIRK,All right. Let's go.
12977,MAAB,Klingon. There's nothing to concern you there.
12978,KRAS,"We made an agreement, Maab. I have a right to my weapons."
12979,MAAB,"We have them well cared for, Klingon. Your weapon will be returned when our business is completed. That was our agreement."
12980,SCOTT,"Sensor report, Mister Chekov."
12981,CHEKOV,"Negative, sir. No debris, no residual particles, no traces."
12982,SCOTT,"Mister Sulu, begin a standard search pattern. All scanners full intensity, Mister Chekov.  No signal at all?"
12983,UHURA,"Negative, sir."
12984,CHEKOV,It should be on our screens by now.
12985,SULU,"At best, a freighter might travel warp two."
12986,SCOTT,"I'm well aware of a freighter's maximum speed, Mister Sulu."
12987,KIRK,"Stay with her, Bones. Nice place to get trapped in."
12988,SPOCK,"But a defensible entrance, Captain."
12989,KIRK,"Yes, I see. Scout up the trail that way. See what we have in the way of an exit. I'll take a look around."
12990,MCCOY,"Now listen, you may be a Capellan woman and the widow of a high teer, but I'm a doctor, and it's my tradition to care for the sick and injured. Now, let me see that arm."
12991,ELEEN,You will not touch me in that manner.
12992,MCCOY,"You listen to me, young woman. I'll touch you in any way or manner that my professional judgment indicates."
12993,MCCOY,Just as I thought. It can come anytime now.
12994,ELEEN,How do you know?
12995,MCCOY,"Because I'm a doctor, that's how I know."
12996,ELEEN,Even the women of our village cannot tell so much with a touch. Strange hand. Very soft.
12997,SPOCK,"The walls get higher and narrower, but there is a way out."
12998,KIRK,"Good. If we could block off that entrance, hold them off, it'd give us more time. They'd have to go around these hills."
12999,SPOCK,There is enough loose rock and shale.
13000,KIRK,Do you think we could create a sonic disruption with two of our communicators?
13001,SPOCK,Only a very slight chance it would work.
13002,KIRK,"Well, if you don't think we can, maybe we shouldn't try."
13003,SPOCK,"Captain, I didn't say that exactly."
13004,SPOCK,The sound beams should produce a sympathetic vibration on the weak area of that slide.
13005,KIRK,Worried about the delivery?
13006,MCCOY,"Capellans aren't human, Jim. They're humanoid. There's certain internal differences. I don't have equipment to handle an emergency."
13007,KIRK,"Well, if you don't think you can handle it"
13008,MCCOY,Forget it. I can do it. The last thing I want around is a ham-handed ship's captain.
13009,ELEEN,No! Only McCoy.
13010,KIRK,There's a cave in there. Probably the only shelter around here.
13011,MCCOY,I'll need help getting her in there.
13012,ELEEN,No!
13013,MCCOY,"Look, I'm a doctor, not an escalator! Spock, give me a hand!"
13014,ELEEN,No! I will allow only your touch.
13015,UHURA,"There's nothing, Mister Scott. All channels and frequencies are clear."
13016,SCOTT,Mister Chekov?
13017,CHEKOV,"Nothing, sir. If it were destroyed, I'd pick up debris readings of some sort."
13018,SULU,"It couldn't have run away from us, sir. Not a freighter."
13019,SCOTT,"Mister Chekov, pull the microtape on that distress call. I want it replayed."
13020,VOICE,Commanding. We are under heavy attack by Klingon vessels. Two convoy ships are already damaged. We must have help.
13021,SCOTT,"Did you hear it? They called us by name. Not a general distress signal, but one aimed right at us."
13022,SULU,Wouldn't they normally call for the nearest starship?
13023,SCOTT,How would a freighter know we were ordered into this sector?
13024,SULU,A trap. We were diverted from the planet.
13025,UHURA,Or it could be an authentic distress call.
13026,SCOTT,We'll stay long enough to make certain. Continue search pattern.
13027,SULU,"Yes, sir. Continuing."
13028,KIRK,"Bones, you've got one of those magnesite-nitron tablets in your kit. Give me one."
13029,MCCOY,Just a minute. Let me get her on the rock. There you go.
13030,ELEEN,"No, no. Pain is here."
13031,KIRK,"How did you arrange to touch her, Bones, give her a happy pill?"
13032,MCCOY,No a right cross.
13033,KIRK,Never seen that in a medical book.
13034,MCCOY,It's in mine from now on.
