Speaker,Dialogue
KYLE,"Warp factor one, sir."
KIRK,"Mister Chekov, prepare to launch a telemetry probe into that"
CHEKOV,"Aye, sir. Probe ready. Switching data feed to library computer."
KIRK,Launch probe.
CHEKOV,"Probe launched, sir."
KIRK,What was that?
UHURA,"The telemetry probe, sir. There's no signal from it."
KIRK,"Speculation, Spock."
SPOCK,"I have none, Captain. Insufficient data."
SPOCK,Lieutenant.
UHURA,"I'm just dizzy. I'll be all right. I'm fine, sir."
KIRK,Kirk here. What is it?
KIRK,Uhura almost did. She says she's all right. Do you want to see
MCCOY,Not unless she's feeling ill. I've got an emergency here.
MCCOY,"There's nothing organic. They all seem to be nervous, weak, and"
MCCOY,I'm giving them stimulants to keep them on their feet.
KIRK,"Good. Kirk out. Hold our position, Mister Kyle."
KYLE,"Aye, aye, sir."
KIRK,"Spock, give me an update on the dark area ahead."
SPOCK,No analysis due to insufficient information.
KIRK,"No speculation, no information, nothing. I've asked you three"
SPOCK,"I am well aware of that, Captain, but the computers contain"
KIRK,I don't know about you but I'm tired. If you can't tell me what
SPOCK,"It is not liquid, gaseous, or solid, despite the fact we cannot"
KIRK,So far that's not much help.
SPOCK,"It is not a galactic nebula such as the Coal Sack, and since our"
KIRK,Is it possible that this is what killed that solar system and the
SPOCK,Very possible.
KIRK,Lieutenant.
UHURA,"Yes, sir."
KIRK,Notify the Starfleet that we're going to attempt to probe the
UHURA,"Aye, aye, sir."
SPOCK,Captain?
KIRK,"I'm all right. Distance from zone of darkness, Mister Kyle?"
KYLE,"One hundred thousand kilometres, sir."
KIRK,Ahead slow. Impulse power only.
KYLE,"Aye, aye, sir."
UHURA,"Transmission to Starfleet complete, sir."
KIRK,"Very good. Time, Mister Chekov?"
CHEKOV,"Penetration of the zone in one minute, seven seconds, sir."
KIRK,Red Alert. Deflectors full power. Phaser banks ready.
CHEKOV,"Phasers standing by. Deflectors at full power, sir."
UHURA,"It's not coming from communications, sir."
KIRK,Spock!
SPOCK,"Analysing now, Captain."
CHEKOV,"Captain, the stars are gone!"
KIRK,"Malfunction, Mister Spock?"
SPOCK,"Negative, Captain. All systems functioning properly."
KIRK,Then kindly tell me what happened to the stars.
SPOCK,"Unknown, Captain."
KIRK,Kirk to McCoy.
KIRK,Things any better down there?
KIRK,Have you got anything that will help up here? I don't want
KIRK,"Kirk to Engineering. Scotty, there was a power loss. How come?"
SCOTT,"We lost five percent of our energy reserve,"
SCOTT,"Aye, if we don't lose any more. Don't ask me how it happened."
KIRK,"I am asking how, mister. I want answers. Kirk"
KIRK,What's that?
MCCOY,A stimulant.
KIRK,"Bones, how bad is it?"
MCCOY,Two thirds of the personnel are affected.
KIRK,Why? How? Do you have any answers?
MCCOY,No. You know you'll get everything I can tell you. But when
MCCOY,Nurse.
KIRK,This ship is in trouble. We'd better start solving problems
SPOCK,That sound was turbulence caused by the penetration of a
KIRK,What boundary layer?
SPOCK,Unknown.
KIRK,Boundary layer between what and what?
SPOCK,Between where we were and where we are.
KIRK,"Are you trying to be funny, Mister Spock?"
SPOCK,"It would never occur to me, Captain."
KIRK,"Do you have any ideas, Spock?"
SPOCK,"We still have no specifics, but we seem to have entered a zone"
KIRK,Recommendations.
MCCOY,I have one. I recommend survival. Let's get out of here.
KIRK,"This is the Captain. We're on a difficult mission, but it's not"
KIRK,"We have no guarantees, but we have a good"
MCCOY,Sickbay to Captain Kirk.
MCCOY,"Jim, according to the life indicators, the energy levels"
KIRK,"Yes, say it, Bones."
MCCOY,"According to the life monitors, we're dying."
KIRK,Are you all right?
SCOTT,Yes.
KIRK,What was that?
SCOTT,"I'm sorry, sir. I'm not sure. I was trying to recalibrate, and"
KIRK,Reverse? But that was a forward lurch. How could that happen in
SCOTT,"I don't know, sir. All I know is that the power levels are down"
KIRK,Kirk here.
SPOCK,"Sir, we are accelerating. We are being"
SPOCK,"Unknown, Captain. I suggest you order Mister Scott to give us"
KIRK,He just gave us reverse power. We lurched
SPOCK,"In that case, Captain, I would suggest we"
CHAPEL,Doctor. Life function indicators. They've
MCCOY,Stimulants. I don't know how long we can keep this up.
KIRK,"What do you think, Scotty? Forward thrust?"
SCOTT,"I don't know, sir. It goes against the rules of logic."
KIRK,"Yes, doesn't it? Well, if it doesn't work, I'll never let Spock"
SCOTT,But
KIRK,Go ahead.
SCOTT,"That's doing it, sir. We're slowing down. But we're not"
KIRK,Have one of your engineers monitor the instruments. Keep applying
CHAPEL,"Doctor, they seem to be stabilising."
MCCOY,"But at a dangerously low level. Well, we're still alive. I"
MCCOY,All I can contribute is the further we
KIRK,Engineering.
SCOTT,"As to the power levels are concerned, everything is acting"
KIRK,Spock.
SPOCK,It's logical to assume that something within this zone absorbs
KIRK,"The same thing, not the zone itself?"
SPOCK,"I would say not, Captain. The analysis of the zone indicates it"
KIRK,Maybe it's a shield of some kind. Some form of protection for
SCOTT,But what?
KIRK,"We'll find out what it is, but we'd better get out of here"
SCOTT,"Aye, Captain, but I'll reserve some for the shields in case we"
SPOCK,"I submit, Mister Scott, if we do not get out, the shields would"
KIRK,"Use whatever power is necessary to get us out of here, Scotty."
SPOCK,"Captain, the Intrepid would have done all these things too, and"
KIRK,"Well, they may not have done all of these things. You just"
SPOCK,True. It is also true they never knew what was killing them.
KIRK,Explain.
SPOCK,Vulcan has not been conquered within its collective memory. The
KIRK,What was it you sensed?
SPOCK,The touch of death.
KIRK,And what do you think they felt?
SPOCK,Astonishment.
SCOTT,That ought to do it. Engineering to Captain Kirk.
KIRK,"Kirk here. What is it, Scotty?"
SCOTT,"Ready to try it when you are, sir."
KIRK,"Do we have the power to pull it off, Scotty?"
KIRK,"Stand by. All hands, this is the captain. We are slowly being"
KIRK,In the hope that it will yank us out of the
KIRK,Scotty!
KIRK,Are we still losing power?
SCOTT,"Aye, sir."
SCOTT,"At this rate, plus the drain on all systems, two hours."
KIRK,"Maintain thrust, Scotty. While we're"
SPOCK,"I cannot say what it is, Captain, but I would say it has found"
KIRK,"Prepare to launch a probe, Mister Chekov."
CHEKOV,"Aye, sir. Probe ready for launch, sir."
SPOCK,"Getting very confused readings, Captain, but this is definitely"
KIRK,Launch probe.
CHEKOV,"Probe launched, sir."
SPOCK,Probe will impact in seven point three seconds.
KYLE,"Six, five, four, three, two, one."
KIRK,Are we still in contact with the probe?
CHEKOV,"Yes, sir. Data being relayed to Mister Spock."
SPOCK,"Readings coming in now, Captain. Length, approximately eleven"
KIRK,Magnification four.
CHEKOV,"Magnification four, sir."
SPOCK,"That is what is drawing us toward it, Captain. The same way it"
MCCOY,That is an amoeba.
KIRK,"Yes, I remember my basic biology, Doctor. You mean to tell me"
MCCOY,"Yes, for lack of a better term. It's a very simple form of life."
SPOCK,"Energy itself, perhaps, drained from us. I would speculate that"
KIRK,The Intrepid died of that particular virus. How is it we
SPOCK,The Intrepid must have come across the organism while it was
KIRK,What about this zone of darkness? Does the organism generate it
MCCOY,It's one of the things we've got to find out. We've got to take
KIRK,"The closer we get, the faster our energy drains out. We're barely"
MCCOY,Perhaps we could risk the shuttlecraft. Perhaps with a
protective shield KIRK,I'm not sending anyone anywhere. Unmanned probes can give us the
SPOCK,"I must differ with you, Captain. We have sent unmanned probes"
MCCOY,"We could send one man in, pinpoint its vulnerable spots."
KIRK,DO you know what the odds are in coming back? I can't order a man
MCCOY,"Who said anything about an order, Jim? You've got a volunteer."
KIRK,It's a suicide mission.
SPOCK,The thing evidently has reflexes. The unmanned probe we sent in
MCCOY,"All right, so I'd know enough to go slow when we penetrated its"
SPOCK,"You have a martyr complex, Doctor. I submit that it disqualifies"
MCCOY,Do you think I intend to pass up the greatest living laboratory
since SPOCK,The Vulcans saw it first and died.
MCCOY,Just because the Vulcans failed
SPOCK,I am more capable.
KIRK,"Gentlemen, I am not taking volunteers."
MCCOY,You don't think you're going?
KIRK,I'm better qualified as a command pilot than you are.
SPOCK,"Which makes you indispensable, Captain. Further, you are not a"
MCCOY,"Jim, that organism contains chemical processes we've never seen"
We could learn more in one day SPOCK,"We don't have one day, Doctor. We have precisely one hour and"
MCCOY,Jim
SPOCK,"Captain, I"
KIRK,"Gentlemen, I'll decide."
KIRK,"Captain's personal log, stardate 4309.2. We"
SCOTT,Engineering to Captain Kirk.
SCOTT,You asked me to keep you informed on the power drain. All levels
KIRK,Very well. Prepare the shuttlecraft for launching.
KIRK,Doctor McCoy will tell you what special equipment to put in. Kirk
MCCOY,"Right. I'll get a few things I need, Jim."
KIRK,"Not you, Bones. I'm sorry, Mister Spock. You're best qualified to"
SPOCK,"Do not suffer so, Doctor. This is not the"
MCCOY,"Nothing has been proven yet, Spock. The DNA code analyser will"
SPOCK,"I am familiar with the equipment, Doctor. We're wasting time."
MCCOY,"You're determined not to let me share in this, aren't you?"
SPOCK,"This is not a competition, Doctor. Whether you understand it or"
MCCOY,Vulcan dignity? How can I grant you what I don't understand?
SPOCK,Then employ one of your own superstitions. Wish me luck.
MCCOY,"Good luck, Spock."
SCOTT,All systems clear for shuttlecraft launch.
KIRK,Launch shuttlecraft.
KYLE,"Shuttlecraft away, sir."
KIRK,"Lieutenant Uhura, channel automatic telemetry directly to the"
UHURA,"Aye, aye, sir."
KIRK,"Come in, Spock."
SPOCK,Power drain is enormous and growing worse.
KIRK,Chekov.
SCOTT,"Captain, h e won't have enough power to get back out if he"
KIRK,Spock.
SPOCK,We discussed that possibility earlier. But
SPOCK,Slowing now. Contact in eighteen point three seconds. Brace
KIRK,"Report, Mister Spock. Spock, report."
SPOCK,There was nothing to spare. I shall continue
MCCOY,You want to bet?
SPOCK,"I am moving slowly now, establishing course"
CHEKOV,"Sir, Mister Spock has reduced life-support"
KIRK,"Spock, save your power for the shields."
SPOCK,Calculations indicate the shields will last only forty seven
SPOCK,Changes indicate the organism has stored
KIRK,You mean there'll be two of those things?
KIRK,"Spock, do you read me? Spock, do you read me?"
KIRK,"Spock, come in. Come in."
UHURA,"Contact lost, sir."
KIRK,He's alive! He's kicked it in the side to let us know.
UHURA,"Captain, I'm getting telemetry."
KIRK,"Mister Chekov, telemetry analysis as it comes in."
CHEKOV,"According to Spock's telemetry information, there are over"
KIRK,"If the energy of that organism only doubles, we're dead, and"
MCCOY,"Well, all I know is, that soon there'll be two, four, eight, and"
KIRK,Spock understood when he transmitted the co-ordinates of the
SCOTT,"Captain, the pull from that organism is increasing, and the"
KIRK,How much time do we have?
SCOTT,"No more than an hour now, sir."
KIRK,Put all secondary systems on standby. Shield power has
SCOTT,"Aye, sir."
UHURA,"Captain, I'm receiving a message from Mister Spock on a"
KIRK,"Put it on, Lieutenant."
UHURA,"On audio, sir."
SPOCK,I am slowly losing life support and minimal
MCCOY,How do you feel?
KIRK,What's on your mind?
MCCOY,"Spock. Is it me, Jim? Am I so sentimental that I just have to"
KIRK,"He knew the odds when he went out there, just as you did when you"
MCCOY,"It's a disease, like a virus invading the body of our galaxy."
KIRK,"Yes, it is, isn't it? How many cells does the human body have?"
MCCOY,Millions.
KIRK,"This thing, this cell, this virus. It's eleven thousand miles"
MCCOY,"Now, isn't that a thought? Here we are, antibodies of our own"
KIRK,Antibodies. Antibodies.  Bridge.
KIRK,"Scotty, how much power do we have left?"
SCOTT,"We're down to forty three percent, sir."
KIRK,What would happen if you diverted all remaining power to the
SCOTT,Cut the engine thrust? We'd be sucked into
KIRK,Exactly. Prepare to divert power on my
KIRK,Have you got something to say?
MCCOY,"Technically, no. Medically, yes. Between the stimulants and the"
KIRK,"I don't have a few minutes, Bones. Maybe none of us do. Let's go."
KIRK,"All hands, this is the captain. We're going"
KIRK,"Ready, Scotty."
SCOTT,Switching power to shields. Impulse in reserve. Cutting thrust
KYLE,Impact five seconds.
CHEKOV,"We're through, sir."
KIRK,"I believe everybody is aware of that, Mister Chekov."
UHURA,"Damage control parties report minimal damage, sir. Repairs are"
KIRK,"Very good, Lieutenant."
SCOTT,"Captain, we've only twenty six percent power reserves after"
KIRK,"Do we have impulse power, Scotty?"
SCOTT,"I saved all I could, sir, but I don't know whether we have"
KIRK,We are committed.
SCOTT,"Aye, we are, but we're committed to what? We have no power for"
MCCOY,We couldn't use it. We'd cook ourselves along with that mess of
protoplasm out there KIRK,That thing would probably like phasers. It eats power.
SCOTT,"Then what the devil, begging your pardon sir, are we doing?"
KIRK,Mister Spock was trying to tell us what to do when we lost voice
SCOTT,We can't use the power to destroy it.
KIRK,Anti-power.
MCCOY,What?
KIRK,This thing has a negative energy charge. Everything seems to work
SCOTT,"Aye, it couldn't swallow that."
KIRK,"Mister Chekov, prepare a probe. Scotty, we'll need a magnetic"
SCOTT,"It's on its way, sir."
KIRK,"Mister Chekov, we'll use a timing detonator for the probe. Work"
CHEKOV,"Aye, sir."
KIRK,"Helmsman, when do you estimate arrival at nucleus?"
KYLE,"Seven minutes, sir."
MCCOY,How close are you going to it?
KIRK,Point blank range. We'll implant it then back away.
MCCOY,Why? The probe has a range of
KIRK,"With the eddies and currents in that protoplasm, the probe could"
MCCOY,How long do you think you can keep taking that stuff? It'll blow
KIRK,Keep me together for another seven minutes. That's all I need.
SPOCK,"Personal log, Commander Spock, USS"
KIRK, We have arrived at
CHEKOV,"Target co-ordinates programmed, sir. Probe ready for launch."
KIRK,"Mister Scott, how much time do we have left at one hundred"
SCOTT,"Six, maybe seven minutes, sir."
KIRK,"Mister Kyle, programme fuse for seven minute delay. All"
SCOTT,"Aye, sir."
CHEKOV,Programming complete. Ready for launch.
KIRK,"Launch probe at zero acceleration. Forward thrust off, one tenth"
KYLE,"Forward thrust off, sir."
CHEKOV,"Probe launched, sir."
MCCOY,"Despite what Spock said, it's still plenty sensitive."
CHEKOV,"Probe confirmed. It is lodged in the nucleus, near the"
KIRK,"Mister Kyle, back us out the way we came in. Mister Chekov, a"
KYLE,"Backing out, sir."
CHEKOV,Estimate we'll be out in six point thirty seven minutes.
KIRK,Very good.
CHEKOV,"Captain, metallic substance outside the ship."
MCCOY,Spock?
KIRK,"Lieutenant, get me Spock's voice channel. Highest possible gain."
UHURA,"Go ahead, sir."
KIRK,"Spock, do you read me? Do you read me, Spock, do you read me?"
SCOTT,"Captain, we don't have enough time to do it. We only have a"
KIRK,"I'm well aware of that, Mister Scott. Get two tractor beams on"
SCOTT,"Aye, sir. Tractor beams on."
SPOCK,Do not risk the ship further on my behalf.
MCCOY,"Shut up, Spock! We're rescuing you."
SPOCK,"Why, thank you, Captain McCoy."
KYLE,"Almost out. We're approaching the membrane,"
KIRK,Time until explosion?
CHEKOV,"Fifty seven seconds, sir."
KIRK,"Maintaining tractor beams on shuttlecraft, Mister Scott?"
SCOTT,"Aye, sir. I can't guarantee it'll hold when the warhead"
KIRK,"You may have just written our epitaph, Mister Scott."
KIRK,"Activate main viewing screen.  Mister Chekov,"
CHEKOV,"The organism is destroyed, sir. The explosion must have"
SCOTT,"Power's coming back, sir."
KIRK,Shuttlecraft?
SCOTT,"I don't know how, sir, but it's still with us."
SPOCK,Shuttlecraft to Enterprise. Shuttlecraft to
KIRK,"Spock, you're alive!"
SPOCK,"Obviously, Captain. And I have some"
MCCOY,"Don't be so smart, Spock. You botched the"
KIRK,"Later, later, later. Bring the shuttlecraft aboard, Mister Scott."
SCOTT,"Aye, sir."
KYLE,Prepare to receive shuttlecraft. Received shuttlecraft. Hangar
KIRK,"Mister Chekov, lay in a course for Starbase Six. Ahead warp"
Original Airdate,"2 Feb, 1968"
MCCOY,"Yes, Jim."
MCCOY,"Oh, about another thirty minutes. I've come across some most"
KIRK,No sign of the inhabitants so far. Kirk out.
SPOCK,Large prints. The ape-like carnivore in the reports?
KIRK,"Yes, the mugato. No problem, though. Those prints are several"
SPOCK,"Aside from that, you say it's a Garden of Eden?"
KIRK,Or so it seemed to the brash young Lieutenant Kirk on his first
SPOCK,Class M in all respects. Quite Earth-like.
KIRK,Except these people stayed in their Garden of Eden. Bows and
SPOCK,"Bows and arrows, Captain?"
KIRK,Villagers with flintlocks? That's impossible. They hadn't
SPOCK,"Captain, look."
KIRK,One of those men walking into ambush is Tyree. The friend I lived
SPOCK,"Captain, use of our phasers is expressly forbidden."
TYREE,Villagers!
MCCOY,"Enterprise, alert! Stand by to beam up"
KIRK,"Spock? Your phaser. (it is missing, so Kirk prepares to use his"
SPOCK,"No, Captain. I can travel."
KIRK,"Beam us up, quickly."
MCCOY,"Now, Scotty. Have medics stand by."
SCOTT,"What happened, Captain?"
KIRK,Lead projectile. Primitive firearm.
BENGA, Vitalizer B.
MCCOY,"Pressure packet. Lucky his heart's where his liver should be, or"
BENGA,"Not good, sir."
MCCOY,Coranalin.
KIRK,"Bones, can you save him?"
KIRK,Kirk here.
KIRK,On my way. Scotty. Bones?
MCCOY,"I don't know yet, Jim."
CHEKOV,"Captain, we're holding the planet between"
UHURA,"Make that definite, sir. They're sending a routine message to"
KIRK,Good. Go to Yellow Alert.
UHURA,Yellow Alert. All stations go to Yellow Alert.
KIRK,"Do you think you can keep us out of their sight, Chekov?"
CHEKOV,"I can try, Captain."
UHURA,"Message to Starbase, sir?"
KIRK,"No point in giving ourselves away, Lieutenant. Not until we find"
SCOTT,"We can hide for a while, sir, but we may have to go out of orbit"
KIRK,Kirk to Sickbay.
KIRK,"So, they've broken the treaty."
SCOTT,"Not necessarily, Captain. They have as much right to scientific"
KIRK,Research is not the Klingon way.
SCOTT,"True, but since this is a hands-off planet, how are you going to"
KIRK,"When I left there thirteen years ago, those villagers had barely"
UHURA,"On Earth, about twelve, sir."
SCOTT,"On the other hand, a flintlock would be the first firearm the"
KIRK,"Yes, I'm aware of that, Mister Scott."
CHEKOV,"And, sir, the fact Earth took twelve centuries doesn't mean"
UHURA,We've seen different development at rates on different planets.
SCOTT,"And were the Klingons behind it, why didn't they give them"
CHEKOV,Or machine guns?
UHURA,Or old-style hand lasers?
KIRK,I did not invite a debate. I'm sorry. I'm worried about Spock and
BENGA,We've no replacements for the damaged
MCCOY,Agreed. Sterilite off.
CHAPEL,"Yes, sir."
MCCOY,"He'll live or die now, Jim. I don't know which. Doctor M'Benga"
KIRK,Then you and I are transporting down.
MCCOY,I can't leave Spock at this time.
KIRK,You just indicated you could. There are Klingons here. If their
MCCOY,And if that's not it?
KIRK,Then I need help. Advice I can trust as much as Spock's.
MCCOY,"I appreciate the compliment, Jim, but"
KIRK,"Bones, I'm as worried about Spock as you are, but if the Klingons"
KIRK,McCoy and I are transporting back down. Inform ship's stores that
SCOTT,"Captain, we may have to break out of orbit"
KIRK,I understand. We'll arrange a rendezvous
KIRK,Perfect. Tyree's camp's a quarter of a mile away.
MCCOY,"Want to think about it again, Jim? Starfleet's orders about this"
planet state no interference with KIRK,No interference with normal social development. I'm not only
MCCOY,I read it. Inhabitants superior in many ways to humans. Left
KIRK,Indeed. And I intend to see that they have that chance. You
MCCOY,Do I have a choice?
KIRK, Contact ship. Took full poison. Fangs.
MCCOY,"Enterprise, McCoy. Emergency. Come in. Enterprise, come in."
KIRK,They left. Out of orbit.
MCCOY," Jim, there is no antitoxin for this"
KIRK,Tyree. Some of his men. Cure.
MCCOY,Are you hill people? Do you know a hunter named Tyree? A mugato
YUTAN,Take him to the cave. I bring Tyree.
MCCOY,You and your Garden of Eden.
NONA,"We must obtain the same firesticks, husband. You could be killing"
TYREE,"Nona, enough. In time the villagers will return to their ways of"
NONA,In time? They kill your people! I am a Kahn-ut-tu woman. In all
TYREE,I took you because you cast a spell upon me.
NONA,And I have spells that help me keep you. Remember this leaf? The
TYREE,The night of madness.
NONA,"Oh, Tyree, did you really hate that madness?"
TYREE,"No, Nona. No! It brought up evil beasts from my soul."
NONA,"Only one lovely beast, Tyree, my huge, angry man."
YUTAN,Forgive me.
NONA,What is it?
YUTAN,There are strangers in our camp. One has taken the mugato bite.
NONA,Strangers?
YUTAN,"It is said the dying one is a friend of Tyree, from long ago."
NONA,That one. Bring him when his head clears.
NONA,"The stranger, where is he?"
TYREE,"Nona, where's Kirk? The cave?"
NONA,"Tyree, you wish me to save him?"
TYREE,You must. He is the one I told you of. The friend of my younger
NONA,My remedies require I know what kind of man he is. All that is
TYREE,I gave him my promise of silence. He was made my brother.
NONA,"And I am your wife, his sister. I promise silence also."
TYREE,Nona
NONA,Quickly! Or he dies.
BENGA,Don't let these low panel readings bother you. I've seen this
CHAPEL,You mean he's conscious?
BENGA,"Well, in a sense. He knows we're here and what we're saying,"
CHAPEL,A good nurse always treats her patients that way. It proves
TYREE,I am Tyree.
NONA,And I'm Tyree's woman.
TYREE,It is Kirk. She will cure him.
MCCOY,What's that?
NONA,A mahko root.
MCCOY,A plant? It moves.
NONA,"For those who know where to find it, how to use it, how to pick"
NONA,Take this of my soul. This of my soul. Thine own. Into thine.
KIRK,Bones. I had the strangest dream.
MCCOY,"How do you feel, Jim?"
KIRK,"Tired. Very tired. You did a fine job, Bones. I think I'll sleep."
MCCOY,I want to thank you for saving his life. (Nona's hand is healed
NONA,Our blood has passed through the mahko root together. Our souls
TYREE,She must sleep also.
MCCOY,He is hers?
TYREE,"When a man and woman are joined in this manner, he can refuse"
MCCOY,Jim.
KIRK,Bones. What are you doing here?  Tyree.
TYREE,"Yes, James! James, it's good to see you."
KIRK,What am I doing here? A mugato bite! I remember. I told him to
NONA,"I am a kahn-ut-tu, Captain. I cured you."
TYREE,"My wife, Nona."
KIRK,"Yes, of course. I should've guessed. Congratulations. Tyree, we"
NONA,Good. It is past time to plan.
TYREE,"Much has happened since you left, James. Come, we'll speak of"
NONA,And of things to be done.
TYREE,Come.  We will
CHAPEL,The readings are beginning to fluctuate.
BENGA,Just as they should. This is Doctor M'Benga. There will be
CHAPEL,"Yes, Doctor."
BENGA,"After you've called me, if he speaks, do whatever he says."
CHAPEL,Do whatever he says?
BENGA,"Yes. That's clear enough, isn't it?"
TYREE,The firesticks first appeared nearly a year
KIRK,You say they make the firesticks themselves? How can you be sure?
TYREE,I've looked into their village. I have seen it being done.
MCCOY,Have you seen any strangers among the villagers?
TYREE,Strangers? No.
KIRK,Can you take us to their village while it's still dark?
TYREE,"Yes, but the mugatos travel at night also. You killed one. Its"
KIRK, You've seen how these work.
NONA,"I've seen them also, and I know you have many ways to make your"
MCCOY,Many ways? What else does she know about us?
NONA,Tyree has told me much of you. Do not blame him. It was the price
KIRK,We're simply strangers from
NONA,"From one of the lights in the sky, and you have ways as far above"
TYREE,You will not speak of this to others.
NONA,I will not if I am made to understand. Teach me. There's an old
KIRK,I am grateful.
MCCOY,A splendid custom if not carried to extremes.
KIRK,"We once were as you are, Spears, arrows. There came a time when"
NONA,Some men never grow.
KIRK,Perhaps not as fast or in the way another thinks he should. But
NONA,You must let the villagers destroy us? You will not help your
TYREE,No! I said I will not kill!
NONA,We must fight or die! Is dying better? You would let him die when
TYREE,You will help in ways she does not understand. I have faith in
MCCOY,"What's bothering you, Jim? If we find the Klingons have helped"
KIRK,That's what's bothering me. The something we may have to do.
TYREE,The guard. We must wait.
KIRK,"Tyree, supposing you had to fight? What then?"
MCCOY,"Jim, this man believes in the same thing we believe in. That"
KIRK,Tyree?
TYREE,Now. Come.
KIRK,The gun. Ammunition. Doctor.
KRELL,"You are late, my friend Apella."
APELLA,A quarrel by my people. A division of some skins and a hill
KRELL,Give her to the man who killed the most of her people. The
APELLA,What?
KRELL,A way to shoot further and straighter.
MCCOY,"Jim. Coal for forge, sulphur for gun powder."
KIRK,Let's take a look inside.
KIRK,"Well, here's your forge. People's exhibit number one. A chrome"
MCCOY, This pig iron is almost carbon-free. That village
KIRK,Make recorder and scanner tapes of everything.
MCCOY,Right. It's a pity we can't include a live Klingon. That'd just
APELLA,I thought my people would grow tired of killing. But you were
KRELL,"You will be rich one day, Apella, beyond your dreams. The leader"
KIRK,Bones!
KIRK, Move! Fast!
SPOCK,Nurse.
CHAPEL,Yes?
SPOCK,Hit me. The pain will help me to consciousness. Hit me.
CHAPEL,Hit you? No! I can't
SPOCK,"Blast you, strike me! If I don't regain consciousness soon, it"
SPOCK,Again. Continue. The pain will help me to consciousness.
SCOTT," What are you doing, woman?"
CHAPEL,Leave me alone!
SCOTT,Have you gone daft?
CHAPEL,Mister Spock needs me! Let go!
SPOCK,"That will be quite enough. Thank you, doctor."
BENGA,"Please, release her."
SCOTT,What's this all about?
SPOCK,"She was doing as I requested, Mister Scott. A Vulcan form of"
BENGA,"As you saw, they must wait until the last possible moment then"
CHAPEL,"Here, let me help you, Mister Spock."
SPOCK,"Thank you, nurse. I'm quite fully recovered."
CHAPEL,"Yes, I see you are."
KIRK,"Men, this is the pan. This is the hammer. The hammer striking the"
MCCOY,"Jim, I want to talk to you."
KIRK,"Not here, Bones. In the cave. Yutan, your turn."
MCCOY,Do I have to say it? It's not bad enough
KIRK,Exactly. Each side receives the same knowledge and the same type
MCCOY,"Have you gone out of your mind? Yes, maybe you have. Tyree's"
KIRK,Superstition.
MCCOY,Is it a coincidence this is exactly what she wants?
KIRK,Is it? She wants superior weapons. That's the one thing neither
MCCOY,"Jim, that means you're condemning this whole planet to a war"
KIRK,"All right, Doctor! All right. Say I'm wrong. Say I'm drugged. Say"
MCCOY,I don't have a solution. But furnishing them firearms is
KIRK,"Bones, do you remember the twentieth century brush wars on the"
MCCOY,"Yes, I remember. It went on bloody year after bloody year."
KIRK,"What would you have suggested, that one side arm its friends with"
MCCOY,And if the Klingons give their side even more?
KIRK,Then we arm our side with exactly that much more. A balance of
MCCOY,And what about your friend Tyree? Will he understand this
KIRK,No. Probably not. But I'm going to have to try and make him
MCCOY,"Well, Jim, here's another morsel of agony for you. Since Tyree"
KIRK,"Well, war isn't a good life, but it's life. His wife is the only"
SPOCK,"Position, Mister Scott?"
SCOTT,"Entering distant orbit, sir. Approaching rendezvous time."
SPOCK,The Klingons?
CHEKOV,"They haven't spotted us yet, sir. Looks like they're beaming"
SPOCK,Stand by to signal the captain.
UHURA,"Aye, sir."
KIRK,Nona. Pardon me.
NONA,You are here because I wished you here.
KIRK,Oh? I thought it was my idea.
NONA,Yes. They always believe they come of free will. Tyree thought
KIRK,Nona
NONA,Can you smell this fragrance? Some find it pleasing.
KIRK,I'd like to talk to you.
NONA,Again. Some find it soothing. Yes.
KIRK,I would like
NONA,Happy. Yes. You feel good.
KIRK,"I feel dizzy. Yes, you are lovely. You're beautiful."
NONA,Kiss me.
MCCOY,"Where's Captain Kirk? Tyree, the firestick. Where is it?"
TYREE,There! I left it there.
MCCOY,That's a fine thing to leave lying around. Show us where it is.
TYREE,I do not want it.
MCCOY,Jim? Jim. Who hit you?
KIRK,Nona.
NONA,I bring you victory for Apella!
NONA,Take me to him. He will have the strength to use this new weapon.
NONA,"Touch me again, and this small box will kill you."
KIRK,"No, no. I'm all right. My phaser. She took it."
NONA,This weapon I bring you is far greater than
TYREE,Nona!
MCCOY,She's dead.
TYREE,"I want more of these, Kirk. Many more! Yutan, two of those who"
MCCOY,Here.
KIRK,Tomorrow in the palm of her hands.
MCCOY,"Well, you got what you wanted."
KIRK,"Not what I wanted, Bones. What had to be. (McCoy hands him a"
MCCOY,"Spock, are you alive?"
SPOCK,"An illogical question, Doctor, since"
MCCOY,"Well, I don't know why I was worried. You"
KIRK,"Spock, ask Scotty how long it would take him to reproduce a"
SCOTT," I didn't get that exactly,"
KIRK,A hundred serpents. Serpents for the Garden
Original Airdate,"9 Feb, 1968"
SULU,"The reading's growing stronger, Captain."
UHURA,"It's not a signal, sir. It does not seem to even exist, and yet"
KIRK,Well?
SPOCK,Someone or something is attempting to attract our attention.
KIRK,Someone or something has succeeded. Our distress signal relays
SPOCK,"I do not know. Not even a Vulcan can know the unknown, Captain."
SULU,"Planet dead ahead, Captain. Becoming visual."
SPOCK,"Class M planet, Captain."
KIRK,Close to Earth conditions.
SPOCK,"With two very important exceptions. It's much older than Earth,"
UHURA,"No, sir."
KIRK,"Who are you, Sargon?"
KIRK,Is that a request or demand?
